Last Name,First Name,Event,Date,Member #,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,DV1WF,1/5/2024,100159531,Ref: 1,,,,Ref: 1,,Ref: 2,,Video: 2,,Ref: 1,,
Abashidze,George,DV1MF,1/6/2024,100159531,Ref: 1,Ref: 1,,,Ref: 3,,,,,,,,
Abashidze,George,V60MF,1/7/2024,100159531,Ref: 1,,,,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,Video: 1,,
Abashidze,George,VETWF,1/7/2024,100159531,Ref: 1,,,,,,Ref: 1,Ref: 2,Ref: 1,,Video: 1,,
Abashidze,George,DV1ME,1/8/2024,100159531,Ref: 1,,,Ref: 3,Ref: 1,,,,,,,,
Abashidze,George,U20WE,1/8/2024,100159531,,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Abashidze,George,U20WF,2/16/2024,100159531,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Abashidze,George,JTMWF,2/17/2024,100159531,,,,,,,,,Ref: 1,Ref: 1,,,
Abashidze,George,U20MF,2/17/2024,100159531,Ref: 2,,,Ref: 3,Ref: 2,,Ref: 2,Ref: 1,,,,,
Abashidze,George,U17WF,2/18/2024,100159531,Ref: 1,,,Ref: 2,Ref: 1,,,,Video: 1,,,,
Abashidze,George,U17MF,2/19/2024,100159531,Ref: 2,,,Ref: 3,,,,,,,,,
Abashidze,George,U16WF,3/1/2024,100159531,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Video: 1,,,,
Abashidze,George,Y10MF,3/1/2024,100159531,,,,,Ref: 1,,Ref: 1,Ref: 2,,,,,
Abashidze,George,Y12MF,3/2/2024,100159531,Ref: 1,,,Ref: 2,Ref: 4,,,,,,,,
Abashidze,George,Y14WF,3/2/2024,100159531,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 2,,,,,,
Abashidze,George,U16MF,3/3/2024,100159531,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,,,,
Abashidze,George,Y12WF,3/3/2024,100159531,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,,,,,,
Abashidze,George,Y10WF,3/4/2024,100159531,Ref: 2,,,,,,,,,,,,
Abashidze,George,U16WF,3/15/2024,100159531,Ref: 1,,,,,,Ref: 2,,,,,,
Abashidze,George,U19MF,3/15/2024,100159531,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,Ref: 1,,,,,
Abashidze,George,U16MF,3/16/2024,100159531,Ref: 1,,,,Ref: 3,,Ref: 1,,,,,,
Abashidze,George,U19WF,3/17/2024,100159531,Ref: 1,,,,Ref: 1,,Ref: 3,Ref: 2,,,,,
Abashidze,George,DV1WF,4/25/2024,100159531,Ref: 1,,,,,,Ref: 1,,,Ref: 1,,,
Abashidze,George,U19MF,4/25/2024,100159531,Ref: 1,,,,Ref: 2,,Ref: 2,,,,,,
Abashidze,George,DV1MF,4/26/2024,100159531,Ref: 1,,,,,,,,Video: 1,Video: 1,,,
Abashidze,George,U19WF,4/26/2024,100159531,Ref: 1,,,,,,Ref: 2,,Video: 1,,,,
Abashidze,George,V60MF,4/27/2024,100159531,,,,,,,,,,Video: 1,Video: 1,,
Abashidze,George,VETWF,4/27/2024,100159531,Ref: 1,,,,,,,,,,,,
Abashidze,George,U19ME,4/28/2024,100159531,Ref: 2,,,,,,,,,,,,
